id,gene,gene_function,sub_class,class,source_organism
Mcadm-g0212_cadC_Lm,cadC_Lm,Cd(II)-sensing_metalloregulatory_transcriptional_repressor_CadC,Cadmium resistance,Metals,Listeria monocytogenes
Mcadm-g0213_cadC_Sa,cadC_Sa,Cd(II)/Pb(II)/Zn(II)-sensing_metalloregulatory_transcriptional_repressor_CadC,Cadmium resistance,Metals,Staphylococcus aureus
Mcadm-g0214_cadD,cadD,cadmium_resistance_transporter_CadD,Cadmium resistance,Metals,Staphylococcus aureus
Mcadm-g0215_cadR,cadR,cadmium_resistance_transcriptional_regulator_CadR,Cadmium resistance,Metals,Pseudomonas asiatica
Mcadm-g0216_nccH,nccH,nickel/cobalt/cadmium_resistance_ECF_sigma_factor_NccH,Cadmium resistance,Metals,Cupriavidus metallidurans
Mchro-g0217_chrA,chrA,chromate_resistance_efflux_protein_ChrA,Chromate resistance,Metals,Pseudomonas aeruginosa
Mchro-g0218_chrR_I,chrR_I,class_I_chromate_reductase_ChrR,Chromate resistance,Metals,Pseudomonas sp. KBS0802
Mchro-g0219_ceuE,ceuE,Chromate_ABC_efflux_pump,Chromium resistance,Metals,Helicobacter mustelae
Mchro-g0220_chrA,chrA,Chromium_resistance_protein,Chromium resistance,Metals,Brucella tritici
Mchro-g0221_chrA,chrA,Chromium_resistance_protein,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0222_chrA,chrA,Chromium_resistance_protein,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0223_chrB1,chrB1,Chromium_resistance_protein,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0224_chrB1,chrB1,Chromium_resistance_protein,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0225_chrC,chrC,Chromium_resistance_protein,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0226_chrE,chrE,Chromium_resistance_protein,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0227_chrF,chrF,Chromium_resistance_regulator,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0228_chrI,chrI,Chromium_resistance_regulator,Chromium resistance,Metals,Cupriavidus metallidurans
Mchro-g0229_chrR,chrR,Chromium_resistance_protein,Chromium resistance,Metals,Pseudomonas sp.
Mchro-g0230_nfsA,nfsA,Chromium_resistance_protein,Chromium resistance,Metals,Escherichia coli
Mchro-g0231_recG,recG,Chromium_resistance_protein_partial,Chromium resistance,Metals,Pseudomonas sp. MPDS
Mchro-g0232_srpCC,srpCC,Chromium_resistance_protein,Chromium resistance,Metals,Synechococcus elongatus PCC 7942 = FACHB-805
Mcoba-g0233_corT,corT,Cobalt_transporting_ATPase,Cobalt resistance,Metals,Synechocystis sp. IPPAS B-1465
Mcoba-g0234_nhlF,nhlF,Cobalt_transporting_ATPase,Cobalt resistance,Metals,Rhodococcus rhodochrous
Mcopp-g0235_actPC,actPC,Copper_resistance_protein,Copper resistance,Metals,Rhizobium leguminosarum bv. viciae
Mcopp-g0236_bhsA,bhsA,Copper_resistance_regulator,Copper resistance,Metals,Shigella sonnei
Mcopp-g0237_binD_CopB,binD_CopB,copper-binding_protein_CopB,Copper resistance,Metals,Pseudomonas syringae pv. tomato
Mcopp-g0238_binD_CopB,binD_CopB,copper-binding_protein_CopB,Copper resistance,Metals,Xanthomonas citri pv. citri
Mcopp-g0239_binD_CopB,binD_CopB,copper-binding_protein_CopB,Copper resistance,Metals,Xanthomonas perforans
Mcopp-g0240_cinA,cinA,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas aeruginosa
Mcopp-g0241_comR,comR,Copper_resistance_regulator,Copper resistance,Metals,Escherichia coli
Mcopp-g0242_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas arboricola pv. juglandis
Mcopp-g0243_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Escherichia coli K-12
Mcopp-g0244_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Aeromonas veronii bv. sobria
Mcopp-g0245_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas euvesicatoria
Mcopp-g0246_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Achromobacter sp. AO22
Mcopp-g0247_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Enterococcus hirae
Mcopp-g0248_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0249_copA,copA,Copper_resistance_protein,Copper resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Mcopp-g0250_copB,copB,Copper_resistance_protein,Copper resistance,Metals,Aeromonas veronii bv. sobria
Mcopp-g0251_copB,copB,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas putida
Mcopp-g0252_copB,copB,Copper_resistance_protein,Copper resistance,Metals,Achromobacter sp. AO22
Mcopp-g0253_copB,copB,Copper_resistance_protein,Copper resistance,Metals,Archaeoglobus fulgidus DSM 8774
Mcopp-g0254_copB_Ehir,copB_Ehir,copper/silver-translocating_P-type_ATPase_CopB,Copper resistance,Metals,Enterococcus hirae
Mcopp-g0255_copC,copC,Copper_resistance_protein,Copper resistance,Metals,Aeromonas dhakensis
Mcopp-g0256_copC,copC,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas euvesicatoria
Mcopp-g0257_copC,copC,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas putida
Mcopp-g0258_copC,copC,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas amygdali pv. tabaci str. ATCC 11528
Mcopp-g0259_copC,copC,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas sp. J380
Mcopp-g0260_copC,copC,Copper_resistance_protein,Copper resistance,Metals,Stenotrophomonas maltophilia
Mcopp-g0261_copC_Psyr,copC_Psyr,copper_homeostasis_periplasmic_binding_protein_CopC,Copper resistance,Metals,Pseudomonas syringae pv. tomato
Mcopp-g0262_copD,copD,Copper_resistance_protein,Copper resistance,Metals,Stenotrophomonas maltophilia
Mcopp-g0263_copD,copD,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas syringae
Mcopp-g0264_copD,copD,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas syringae pv. tomato
Mcopp-g0265_copD,copD,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas putida
Mcopp-g0266_copD,copD,Copper_resistance_protein,Copper resistance,Metals,Pseudomonas fluorescens
Mcopp-g0267_copF,copF,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas citri pv. citri
Mcopp-g0268_copG,copG,Copper_resistance_protein,Copper resistance,Metals,Achromobacter sp. AO22
Mcopp-g0269_copG,copG,Copper_resistance_protein,Copper resistance,Metals,Stenotrophomonas maltophilia
Mcopp-g0270_copJ,copJ,Copper_resistance_protein,Copper resistance,Metals,Cupriavidus metallidurans
Mcopp-g0271_copK,copK,Copper_resistance_protein,Copper resistance,Metals,Cupriavidus metallidurans
Mcopp-g0272_copL,copL,Copper_resistance_protein,Copper resistance,Metals,Stenotrophomonas acidaminiphila
Mcopp-g0273_copL,copL,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas citri pv. citri
Mcopp-g0274_copL,copL,Copper_resistance_protein,Copper resistance,Metals,Stenotrophomonas acidaminiphila
Mcopp-g0275_copM,copM,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas citri pv. citri
Mcopp-g0276_copM,copM,Copper_resistance_protein,Copper resistance,Metals,Synechocystis sp. IPPAS B-1465
Mcopp-g0277_copP,copP,copper-binding_metallochaperone_CopP,Copper resistance,Metals,Helicobacter felis ATCC 49179
Mcopp-g0278_copP,copP,copper-binding_metallochaperone_CopP,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0279_copR,copR,Copper_resistance_regulator,Copper resistance,Metals,Xanthomonas euvesicatoria
Mcopp-g0280_copR,copR,Copper_resistance_regulator,Copper resistance,Metals,Saccharolobus solfataricus
Mcopp-g0281_copR,copR,Copper_resistance_regulator,Copper resistance,Metals,Achromobacter sp. AO22
Mcopp-g0282_copR,copR,Copper_resistance_regulator,Copper resistance,Metals,Xanthomonas citri pv. citri
Mcopp-g0283_copR,copR,heavy_metal_response_regulator_transcription_factor_CopR,Copper resistance,Metals,Pseudomonas syringae pv. tomato
Mcopp-g0284_copR,copR,heavy_metal_response_regulator_transcription_factor_CopR,Copper resistance,Metals,Pseudomonas fluorescens
Mcopp-g0285_copS,copS,copper_resistance_membrane_spanning_protein_CopS,Copper resistance,Metals,Pseudomonas syringae
Mcopp-g0286_copS,copS,copper_resistance_membrane_spanning_protein_CopS,Copper resistance,Metals,Pseudomonas fluorescens
Mcopp-g0287_copS,copS,Copper_resistance_regulator,Copper resistance,Metals,Xanthomonas euvesicatoria
Mcopp-g0288_copS,copS,Copper_resistance_regulator,Copper resistance,Metals,Achromobacter sp. AO22
Mcopp-g0289_copV,copV,Copper_resistance_protein,Copper resistance,Metals,Cupriavidus metallidurans
Mcopp-g0290_copY,copY,Copper_resistance_regulator,Copper resistance,Metals,Enterococcus hirae
Mcopp-g0291_copZ,copZ,Copper_resistance_regulator,Copper resistance,Metals,Staphylococcus aureus
Mcopp-g0292_copZ,copZ,Copper_resistance_regulator,Copper resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Mcopp-g0293_copZ,copZ,Copper_resistance_regulator,Copper resistance,Metals,Enterococcus hirae
Mcopp-g0294_corR,corR,Copper_resistance_regulator,Copper resistance,Metals,Myxococcus xanthus
Mcopp-g0295_corS,corS,Copper_resistance_regulator,Copper resistance,Metals,Myxococcus xanthus
Mcopp-g0296_crdA,crdA,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0297_crdB,crdB,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0298_crdR,crdR,Copper_resistance_regulator,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0299_crdR,crdR,Copper_resistance_regulator,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0300_crdS,crdS,Copper_resistance_regulator,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0301_csoR,csoR,Copper_resistance_regulator,Copper resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Mcopp-g0302_ctpG,ctpG,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0303_ctpV,ctpV,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0304_ctpV,ctpV,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0305_cueA,cueA,copper_resistance_metal-translocating_P1-type_ATPase_CueA,Copper resistance,Metals,Pseudomonas sp. B10
Mcopp-g0306_cueO,cueO,Copper_resistance_protein,Copper resistance,Metals,Escherichia coli
Mcopp-g0307_cueP,cueP,Copper_resistance_protein,Copper resistance,Metals,Salmonella enterica
Mcopp-g0308_cueR,cueR,Copper_resistance_regulator,Copper resistance,Metals,Bacillus subtilis
Mcopp-g0309_cueR,cueR,Copper_resistance_regulator,Copper resistance,Metals,Shigella sonnei
Mcopp-g0310_cutA,cutA,Copper_resistance_protein,Copper resistance,Metals,Escherichia coli
Mcopp-g0311_cutC,cutC,Copper_resistance_protein,Copper resistance,Metals,Escherichia coli
Mcopp-g0312_cutE,cutE,Copper_resistance_protein,Copper resistance,Metals,Escherichia coli
Mcopp-g0313_cutF,cutF,Copper_resistance_protein,Copper resistance,Metals,Escherichia coli
Mcopp-g0314_cutO,cutO,Copper_resistance_protein,Copper resistance,Metals,Rhodobacter capsulatus SB 1003
Mcopp-g0315_cutR,cutR,Copper_resistance_protein,Copper resistance,Metals,Rhodobacter capsulatus SB 1003
Mcopp-g0316_dnaK,dnaK,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0317_dnaK,dnaK,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0318_golT,golT,gold/copper-translocating_P-type_ATPase_GolT,Copper resistance,Metals,Salmonella enterica
Mcopp-g0319_hpcopA,hpcopA,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0320_hpcopP,hpcopP,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0321_hpcopP,hpcopP,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0322_hpcopP,hpcopP,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0323_hpcopP,hpcopP,Copper_resistance_protein,Copper resistance,Metals,Helicobacter pylori
Mcopp-g0324_mco,mco,multi-copper_oxidase_Mco,Copper resistance,Metals,Staphylococcus aureus
Mcopp-g0325_mctB,mctB,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0326_mctB,mctB,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0327_mmcO,mmcO,Copper_resistance_protein,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0328_pcoA,pcoA,multicopper_oxidase_PcoA,Copper resistance,Metals,Salmonella enterica
Mcopp-g0329_pcoB,pcoB,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas arboricola pv. juglandis
Mcopp-g0330_pcoB,pcoB,copper-binding_protein_PcoB,Copper resistance,Metals,Escherichia coli
Mcopp-g0331_pcoC,pcoC,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas arboricola pv. juglandis
Mcopp-g0332_pcoC,pcoC,copper_resistance_system_metallochaperone_PcoC,Copper resistance,Metals,Escherichia coli
Mcopp-g0333_pcoD,pcoD,Copper_resistance_inner_membrane_protein_PcoD,Copper resistance,Metals,Citrobacter youngae
Mcopp-g0334_pcoD,pcoD,Copper_resistance_protein,Copper resistance,Metals,Xanthomonas arboricola pv. juglandis
Mcopp-g0335_pcoE,pcoE,Copper_resistance_system_metallochaperone_PcoE,Copper resistance,Metals,Salmonella enterica subsp. enterica serovar Brandenburg
Mcopp-g0336_pcoF,pcoF,Copper_resistance_protein_pcoF,Copper resistance,Metals,Salmonella enterica
Mcopp-g0337_pcoG,pcoG,Copper_resistance_protein_pcoG,Copper resistance,Metals,Salmonella enterica
Mcopp-g0338_pcoR,pcoR,copper_response_regulator_transcription_factor_PcoR,Copper resistance,Metals,Escherichia coli
Mcopp-g0339_pcoS,pcoS,copper_resistance_membrane_spanning_protein_PcoS,Copper resistance,Metals,Escherichia coli
Mcopp-g0340_ricR,ricR,Copper_resistance_regulator,Copper resistance,Metals,Mycobacterium tuberculosis
Mcopp-g0341_tcrA,tcrA,Copper_resistance_protein,Copper resistance,Metals,Enterococcus faecium
Mcopp-g0342_tcrB,tcrB,copper-translocating_P-type_ATPase_TcrB,Copper resistance,Metals,Enterococcus faecium
Mcopp-g0343_tcrY,tcrY,Copper_resistance_protein,Copper resistance,Metals,Enterococcus faecium
Mcopp-g0344_tcrZ,tcrZ,Copper_resistance_protein,Copper resistance,Metals,Enterococcus faecium
Mcopp-g0345_ycnJ,ycnJ,Copper_resistance_protein,Copper resistance,Metals,Bacillus subtilis
Mcopp-g0346_ycnJ,ycnJ,Copper_resistance_protein,Copper resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Mcopp-g0347_ycnK,ycnK,Copper_resistance_regulator,Copper resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Mcopp-g0348_yfmO,yfmO,Copper_resistance_protein,Copper resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Mcopp-g0349_yfmP,yfmP,Copper_resistance_regulator,Copper resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Mgold-g0350_golS,golS,Au(I)_sensor_transcriptional_regulator_GolS,Gold resistance,Metals,Salmonella enterica
Miron-g0351_acn,acn,Iron_resistance_protein,Iron resistance,Metals,Mycobacterium tuberculosis
Miron-g0352_bfrA,bfrA,Iron_resistance_protein,Iron resistance,Metals,Mycobacterium tuberculosis
Miron-g0353_furA,furA,Iron_resistance_regulator,Iron resistance,Metals,Mycobacterium tuberculosis
Miron-g0354_furA,furA,Iron_resistance_regulator,Iron resistance,Metals,Mycobacterium tuberculosis
Mlead-g0355_pbrA,pbrA,Lead_P-type_ATPase_transporter,Lead resistance,Metals,Cupriavidus metallidurans
Mlead-g0356_pbrB,pbrB,Lead_P-type_ATPase_transporter,Lead resistance,Metals,Cupriavidus metallidurans
Mlead-g0357_pbrD,pbrD,Lead_P-type_ATPase_transporter,Lead resistance,Metals,Cupriavidus metallidurans
Mlead-g0358_pbrR,pbrR,Lead_P-type_ATPase_regulator,Lead resistance,Metals,Herbaspirillum seropedicae
Mlead-g0359_pbrT,pbrT,Lead_P-type_ATPase_transporter,Lead resistance,Metals,Achromobacter xylosoxidans A8
Mmerc-g0360_merA,merA,Mercury_resistance_protein,Mercury resistance,Metals,Pseudomonas putida
Mmerc-g0361_merA,merA,mercury(II)_reductase,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0362_merA,merA,mercury(II)_reductase,Mercury resistance,Metals,Acidithiobacillus ferrooxidans
Mmerc-g0363_merA,merA,mercury(II)_reductase,Mercury resistance,Metals,Pseudomonas sp. K-62
Mmerc-g0364_merA,merA,mercury(II)_reductase,Mercury resistance,Metals,Stutzerimonas stutzeri
Mmerc-g0365_merA,merA,mercury(II)_reductase,Mercury resistance,Metals,Tenacibaculum discolor
Mmerc-g0366_merA,merA,mercury(II)_reductase,Mercury resistance,Metals,Staphylococcus aureus
Mmerc-g0367_merA,merA,mercury(II)_reductase,Mercury resistance,Metals,Escherichia coli
Mmerc-g0368_merB,merB,Mercury_resistance_protein,Mercury resistance,Metals,Pseudomonas putida
Mmerc-g0369_merB,merB,Mercury_resistance_protein_partial,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0370_merB,merB,Mercury_resistance_protein,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0371_merB,merB,Mercury_resistance_protein,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0372_merB,merB,Mercury_resistance_protein,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0373_merB,merB,Mercury_resistance_protein,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0374_merB,merB,organomercurial_lyase_MerB,Mercury resistance,Metals,Staphylococcus aureus
Mmerc-g0375_merB,merB,organomercurial_lyase_MerB,Mercury resistance,Metals,Escherichia coli O157:H7
Mmerc-g0376_merB,merB,organomercurial_lyase_MerB,Mercury resistance,Metals,Pseudomonas sp. K-62
Mmerc-g0377_merB,merB,organomercurial_lyase_MerB,Mercury resistance,Metals,Ralstonia mannitolilytica
Mmerc-g0378_merB1,merB1,organomercurial_lyase_MerB1,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0379_merB1,merB1,organomercurial_lyase_MerB1,Mercury resistance,Metals,Bacillus thuringiensis
Mmerc-g0380_merC,merC,organomercurial_transporter_MerC,Mercury resistance,Metals,Acidithiobacillus sp. 'AMD consortium'
Mmerc-g0381_merC,merC,organomercurial_transporter_MerC,Mercury resistance,Metals,Stutzerimonas stutzeri
Mmerc-g0382_merC,merC,organomercurial_transporter_MerC,Mercury resistance,Metals,Escherichia coli
Mmerc-g0383_merD,merD,mercury_resistance_co-regulator_MerD,Mercury resistance,Metals,Escherichia coli O157:H7
Mmerc-g0384_merD,merD,mercury_resistance_co-regulator_MerD,Mercury resistance,Metals,Stutzerimonas stutzeri
Mmerc-g0385_merD,merD,mercury_resistance_co-regulator_MerD,Mercury resistance,Metals,Pseudomonas sp. K-62
Mmerc-g0386_merD,merD,mercury_resistance_co-regulator_MerD,Mercury resistance,Metals,Pseudomonas putida
Mmerc-g0387_merD,merD,mercury_resistance_co-regulator_MerD,Mercury resistance,Metals,Pseudomonas aeruginosa
Mmerc-g0388_merD,merD,Mercury_resistance_regulator,Mercury resistance,Metals,Stutzerimonas stutzeri
Mmerc-g0389_merE,merE,broad-spectrum_mercury_transporter_MerE,Mercury resistance,Metals,Escherichia coli
Mmerc-g0390_merF,merF,Mercury_resistance_protein,Mercury resistance,Metals,Pseudomonas aeruginosa PA96
Mmerc-g0391_merF,merF,mercury_resistance_system_transport_protein_MerF,Mercury resistance,Metals,Pseudomonas sp. NY5710
Mmerc-g0392_merG,merG,phenylmercury_resistance_protein_MerG,Mercury resistance,Metals,Pseudomonas aeruginosa
Mmerc-g0393_merH,merH,Mercury_resistance_protein,Mercury resistance,Metals,Mycobacterium marinum
Mmerc-g0394_merP,merP,Mercury_resistance_protein,Mercury resistance,Metals,Flavobacterium sp. CS20
Mmerc-g0395_merP,merP,Mercury_resistance_protein,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0396_merP_Gneg,merP_Gneg,mercury_resistance_system_periplasmic_binding_protein_MerP,Mercury resistance,Metals,Escherichia coli O157:H7
Mmerc-g0397_merR,merR,Mercury_resistance_regulator,Mercury resistance,Metals,Staphylococcus aureus
Mmerc-g0398_merR,merR,Mercury_resistance_regulator,Mercury resistance,Metals,Tenacibaculum discolor
Mmerc-g0399_merR,merR,Mercury_resistance_regulator,Mercury resistance,Metals,Escherichia coli
Mmerc-g0400_merR_Bc1,merR_Bc1,mercury_resistance_transcriptional_regulator_MerR1,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0401_merR_Bc2,merR_Bc2,mercury_resistance_transcriptional_regulator_MerR2,Mercury resistance,Metals,Bacillus cereus
Mmerc-g0402_merR_Ps,merR_Ps,mercury_resistance_transcriptional_regulator_MerR,Mercury resistance,Metals,Acidithiobacillus ferrooxidans
Mmerc-g0403_merR_Ps,merR_Ps,mercury_resistance_transcriptional_regulator_MerR,Mercury resistance,Metals,Pseudomonas aeruginosa
Mmerc-g0404_merR_Ps,merR_Ps,mercury_resistance_transcriptional_regulator_MerR,Mercury resistance,Metals,Pseudomonas sp. KBS0802
Mmerc-g0405_merR_Ps,merR_Ps,mercury_resistance_transcriptional_regulator_MerR,Mercury resistance,Metals,Escherichia coli
Mmerc-g0406_merR_Ps,merR_Ps,mercury_resistance_transcriptional_regulator_MerR,Mercury resistance,Metals,Pseudomonas aeruginosa
Mmerc-g0407_merR_Ps,merR_Ps,mercury_resistance_transcriptional_regulator_MerR,Mercury resistance,Metals,Pseudomonas aeruginosa
Mmerc-g0408_merT,merT,mercuric_transport_protein_MerT,Mercury resistance,Metals,Escherichia coli
Mmerc-g0409_merT,merT,mercuric_transport_protein_MerT,Mercury resistance,Metals,Pseudomonas aeruginosa
Mmerc-g0410_merT,merT,mercuric_transport_protein_MerT,Mercury resistance,Metals,Acidithiobacillus ferrooxidans
Mmerc-g0411_merT,merT,mercuric_transport_protein_MerT,Mercury resistance,Metals,Escherichia coli
Mmerc-g0412_merT,merT,mercuric_transport_protein_MerT,Mercury resistance,Metals,Ralstonia mannitolilytica
Mmerc-g0413_merT,merT,Mercury_resistance_protein,Mercury resistance,Metals,Tenacibaculum discolor
Mmerc-g0414_merT,merT,Mercury_resistance_protein,Mercury resistance,Metals,Pseudomonas aeruginosa
Mmerc-g0415_merT_pI258,merT_pI258,mercuric_transport_protein_MerT,Mercury resistance,Metals,Staphylococcus aureus
Mmerc-g0416_merT_RC607,merT_RC607,mercuric_transport_protein_MerT,Mercury resistance,Metals,Bacillus cereus
Mmeta-g0417_fieF,fieF,CDF_family_cation-efflux_transporter_FieF,Metal resistance,Metals,Klebsiella pneumoniae
Mmeta-g0418_fieF,fieF,CDF_family_cation-efflux_transporter_FieF,Metal resistance,Metals,Escherichia coli
Mmeta-g0419_mrdH,mrdH,Ni(II)/Co(II)_efflux_transporter_permease_subunit_MrdH,Metal resistance,Metals,Pseudomonas aeruginosa
Mmeta-g0420_nccX,nccX,periplasmic_metal_sensor_NccX,Metal resistance,Metals,Cupriavidus metallidurans
Mmeta-g0421_ncrA,ncrA,Metal_Resistance,Metal resistance,Metals,Serratia marcescens
Mmeta-g0422_ncrA,ncrA,Metal_Resistance,Metal resistance,Metals,Klebsiella pneumoniae
Mmult-g0423_arsBM,arsBM,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium
Mmult-g0424_arsRM,arsRM,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Escherichia coli
Mmult-g0425_cadA,cadA,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Helicobacter pylori
Mmult-g0426_cadA,cadA,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Helicobacter pylori
Mmult-g0427_cadX,cadX,Multi-metal_resistance_regulator,Multi-metal resistance,Metals,Streptococcus salivarius
Mmult-g0428_cmtR,cmtR,Multi-metal_resistance_regulator,Multi-metal resistance,Metals,Mycobacterium tuberculosis
Mmult-g0429_cnrA,cnrA,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Cupriavidus metallidurans CH34
Mmult-g0430_cnrA,cnrA,Multi-metal_resistance_protein_partial,Multi-metal resistance,Metals,Bradyrhizobium sp. STM 2457
Mmult-g0431_cnrA,cnrA,Multi-metal_resistance_protein_partial,Multi-metal resistance,Metals,Bradyrhizobium sp. STM 2458;Bradyrhizobium sp. STM 2460
Mmult-g0432_cnrA,cnrA,Multi-metal_resistance_protein_partial,Multi-metal resistance,Metals,Bradyrhizobium sp. STM 2464
Mmult-g0433_cnrA,cnrA,Multi-metal_resistance_protein_partial,Multi-metal resistance,Metals,Bradyrhizobium sp. STM 2465
Mmult-g0434_cnrB,cnrB,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Cupriavidus metallidurans
Mmult-g0435_cnrH,cnrH,Multi-metal_resistance_regulator,Multi-metal resistance,Metals,Cupriavidus metallidurans
Mmult-g0436_cnrR,cnrR,Multi-metal_resistance_regulator,Multi-metal resistance,Metals,Cupriavidus metallidurans CH34
Mmult-g0437_cnrR,cnrR,Multi-metal_resistance_regulator,Multi-metal resistance,Metals,Cupriavidus metallidurans
Mmult-g0438_coaR,coaR,Multi-metal_resistance_regulator,Multi-metal resistance,Metals,Synechocystis sp. IPPAS B-1465
Mmult-g0439_copAM,copAM,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Archaeoglobus fulgidus DSM 8774
Mmult-g0440_copAM,copAM,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Helicobacter felis ATCC 49179
Mmult-g0441_corA,corA,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium
Mmult-g0442_corA,corA,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Escherichia coli
Mmult-g0443_corB,corB,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium
Mmult-g0444_corC,corC,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium
Mmult-g0445_corC,corC,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Salmonella enterica
Mmult-g0446_corD,corD,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Salmonella enterica
Mmult-g0447_ctpC,ctpC,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Mycobacterium tuberculosis
Mmult-g0448_ctpD,ctpD,Multi-metal_resistance_protein,Multi-metal resistance,Metals,Mycolicibacterium smegmatis
Mmult-g0449_cusA,cusA,Multi-metal_RND_efflux_pumps,Multi-metal resistance,Metals,Escherichia coli
Mmult-g0450_cusB,cusB,Multi-metal_RND_efflux_pumps,Multi-metal resistance,Metals,Escherichia coli
Mmult-g0451_cusC,cusC,Multi-metal_RND_efflux_pumps,Multi-metal resistance,Metals,Escherichia coli
Mmult-g0452_cusF,cusF,Multi-metal_RND_efflux_pumps,Multi-metal resistance,Metals,Escherichia coli
Mmult-g0453_cusR,cusR,Multi-metal_RND_efflux_regulator,Multi-metal resistance,Metals,Escherichia coli
Mmult-g0454_cusS,cusS,Multi-metal_RND_efflux_regulator,Multi-metal resistance,Metals,Escherichia coli
