id,gene,gene_function,sub_class,class,source_organism
Bmult-g0051_soxRB,soxRB,Multi-biocide_resistance_regulator,Multi-biocide resistance,Biocides,Escherichia coli
Bmult-g0052_ssmE,ssmE,Multi-biocide_SMR_efflux_pump,Multi-biocide resistance,Biocides,Serratia marcescens
Bmult-g0053_sugE,sugE,Multi-biocide_SMR_efflux_pump,Multi-biocide resistance,Biocides,Escherichia coli K-12
Bmult-g0054_tolC,tolC,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Escherichia coli
Bmult-g0055_tolCSM,tolCSM,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Stenotrophomonas maltophilia
Bmult-g0056_ttgF,ttgF,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Pseudomonas sp. 13159349
Bmult-g0057_ttgF,ttgF,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Pseudomonas sp. 13159349
Bmult-g0058_ttgW,ttgW,Multi-biocide_RND_efflux_regulator,Multi-biocide resistance,Biocides,Pseudomonas putida DOT-T1E
Bmult-g0059_vcaM,vcaM,Multi-biocide_ABC_efflux_pump,Multi-biocide resistance,Biocides,Vibrio cholerae C6706
Bmult-g0060_vcrM,vcrM,Multi-biocide_MATE_efflux_pump,Multi-biocide resistance,Biocides,Vibrio cholerae C6706
Bmult-g0061_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0062_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0063_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0064_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0065_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0066_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0067_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0068_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0069_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0070_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0071_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0072_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0073_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0074_vmeA,vmeA,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0075_vmeB,vmeB,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0076_vmeB,vmeB,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0077_vmeC,vmeC,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
