id,antimicrobial,Bacteria,Ref,,
amino-g0124_ant6-Ia,Streptomycin,"Staphylococcus epidermidis, E. faecium, Streptococcus suis, S. aureus, E. faecalis and Streptococcus mitis",NC_013853,ant6-,
amino-g0127_ant6-Ia_c,Streptomycin,"Staphylococcus epidermidis, E. faecium, Streptococcus suis, S. aureus, E. faecalis and Streptococcus mitis",NC_012924,ant6-,
amino-g0128_ant6-Ia_d,Streptomycin,"Staphylococcus epidermidis, E. faecium, Streptococcus suis, S. aureus, E. faecalis and Streptococcus mitis",AB247327,ant6-,
amino-g0129_ant9-Ia_a,Streptomycin,"S. aureus, Enterococcus spp., Mammaliicoccus sciuri, and E. faecalis",X02588,ant9-,
amino-g0130_ant9-Ia_b,Streptomycin,"S. aureus, Enterococcus spp., Mammaliicoccus sciuri, and E. faecalis",M69221,ant9-,
amino-g0132_aph2-Ie,Gentamicin,,AY939911,aph2-,
amino-g0133_aph2-IIa,Gentamicin,,AF207840,aph2-,
amino-g0134_aph2-IIIa,Gentamicin,,U51479,aph2-,
amino-g0135_aph2-IVa,Gentamicin,,AF016483,aph2-,
amino-g0136_aph3-Ia,"Neomycin,Kanamycin",,V00359,aph3-,
amino-g0137_aph3-Ia,"Gentamicin, Neomycin, Kanamycin",,X53527,aph3-,
amino-g0138_aph3-Ib,"Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin",,M20305,aph3-,
amino-g0139_aph3-Ib,Streptomycin,,M28829,aph3-,
amino-g0140_aph3-Ic,"Neomycin,Kanamycin",,X62115,aph3-,
amino-g0141_aph3-Ic,"Gentamicin, Neomycin, Kanamycin",,DQ336355,aph3-,
amino-g0142_aph3-IIa,"Neomycin,Kanamycin",,V00618,aph3-,
amino-g0143_aph3-IIb,Unknown Aminoglycoside,,CP006832,aph3-,
amino-g0145_aph3-IIIa,"neomycin, amikacin, ribostamycin, butirosin, kanamycin A , gentamicin B, paromomycin, lividomycin",S. aureus and Enterococcus spp,V01547,aph3-,
amino-g0146_aph3-IVa,"Neomycin, Kanamycin",,X01986,aph3-,
amino-g0147_aph3-Va,"neomycin, paromomycin, ribostamycin",,K00432,aph3-,
amino-g0148_aph3-Vb,"neomycin, paromomycin, ribostamycin",,M22126,aph3-,
amino-g0149_aph3-Vc,"neomycin, paromomycin, ribostamycin",,S81599,aph3-,
amino-g0150_aph3-VIa,"neomycin, amikacin, ribostamycin, butirosin, kanamycin, isepamicin, gentamicin, paromomycin",,X07753,aph3-,
amino-g0152_aph3-VIIa,"Amikacin, Kanamycin",,M29953,aph3-,
amino-g0153_aph4-Ia,Hygromycin,,V01499,aph4-,
amino-g0154_aph4-Ib,hygromycin,,X03615,aph4-,
amino-g0155_aph6-Ia,streptomycin,,Y00459,aph6-,
amino-g0156_aph6-Ib,streptomycin,,X05648,aph6-,
amino-g0157_aph6-Ic,Streptomycin,,X01702,aph6-,
amino-g0158_aph6-Id,Streptomycin,,M28829,aph6-,
amino-g0160_aph9-Ia,Spectinomycin,,U94857,aph9-,
amino-g0161_aph9-Ib,Spectinomycin,,U70376,aph9-,
amino-g0162_armA,"Amikacin, Gentamicin, Tobramycin, Isepamicin, Netilmicin",,KF295828,armA,
amino-g0164_npmA,"Neomycin, Amikacin, Ribostamycin, Gentamicin",,NC_016012,npmA,
amino-g0166_rmtA,"dibekacin, amikacin, gentamicin, sisomicin, netilmicin, kanamycin, tobramycin, isepamicin, arbekacin, gentamicin",,AB083212,rmtA,
amino-g0167a_rmtB,"dibekacin, amikacin, gentamicin, sisomicin, netilmicin, kanamycin, tobramycin, isepamicin, arbekacin, gentamicin",,HG003695,_rmtB,
amino-g0168_rmtC,"dibekacin, amikacin, gentamicin, sisomicin, netilmicin, kanamycin, tobramycin, isepamicin, arbekacin, gentamicin",,CP006661,rmtC,
amino-g0169_rmtD,"dibekacin, amikacin, gentamicin, sisomicin, netilmicin, kanamycin, tobramycin, isepamicin, arbekacin, gentamicin",,EU269034 ,rmtD,
amino-g0170_rmtD2,"dibekacin, amikacin, gentamicin, sisomicin, netilmicin, kanamycin, tobramycin, isepamicin, arbekacin, gentamicin",,HQ401567 ,rmtD2,
amino-g0171_aac6-Ib-cr,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin,Fluoroquinolone,Ciprofloxacin",,DQ303918,aac6-,
betaL-g0172_ACC-1,"Cefotaxime, Ceftazidime, Ampicillin",,AJ133121,ACC-1,
betaL-g0173_ACC-2,"Cefotaxime, Ceftazidime, Ampicillin",,AF180952,ACC-2,
betaL-g0175_ACC-4,"Cefotaxime, Ceftazidime, Ampicillin",,EF504260,ACC-4,
betaL-g0176_ACT-1,"Cefotaxime, Ceftazidime, Ampicillin",,U58495,ACT-1,
betaL-g0177_ACT-10,"Cefotaxime, Ceftazidime, Ampicillin",,JN848330,ACT-1,
betaL-g0178_ACT-12,"Cefotaxime, Ceftazidime, Ampicillin",,JX440355,ACT-1,
betaL-g0179_ACT-14,"Cefotaxime, Ceftazidime, Ampicillin",,JX440354,ACT-1,
betaL-g0180_ACT-15,"Cefotaxime, Ceftazidime, Ampicillin",,JX440356,ACT-1,
betaL-g0182_ACT-2,"Cefotaxime, Ceftazidime, Ampicillin",,AM076977,ACT-2,
betaL-g0183_ACT-3,"Cefotaxime, Ceftazidime, Ampicillin",,EF125013,ACT-3,
betaL-g0184_ACT-4,"Cefotaxime, Ceftazidime, Ampicillin",,EU427302,ACT-4,
betaL-g0185_ACT-5,"Cefotaxime, Ceftazidime, Ampicillin",,FJ237369,ACT-5,
betaL-g0186_ACT-6,"Cefotaxime, Ceftazidime, Ampicillin",,FJ237366,ACT-6,
betaL-g0187_ACT-7,"Cefotaxime, Ceftazidime, Ampicillin",,FJ237368,ACT-7,
betaL-g0188_ACT-9,"Cefotaxime, Ceftazidime, Ampicillin",,HQ693810,ACT-9,
betaL-g0189_ADC-1,"Cefotaxime, Ceftazidime, Ampicillin",,AJ009979,ADC-1,
betaL-g0190_ADC-2,"Cefotaxime, Ceftazidime, Ampicillin",,AY177427,ADC-2,
betaL-g0191_ADC-3,"Cefotaxime, Ceftazidime, Ampicillin",,AY178995,ADC-3,
betaL-g0192_ADC-4,"Cefotaxime, Ceftazidime, Ampicillin",,AY178996,ADC-4,
betaL-g0193_ADC-5,"Cefotaxime, Ceftazidime, Ampicillin",,AJ575184,ADC-5,
betaL-g0194_ADC-6,"Cefotaxime, Ceftazidime, Ampicillin",,AY325306,ADC-6,
